structure,bottom_left_xy,top_right_xy,type
water_0,"0,135","32,180",water
water_1,"0,0","32,45",water
water_2,"128,135","160,180",water
water_3,"128,0","160,45",water
maison_0,"92,85","102,97",maison
maison_1,"11,120","21,132",maison
maison_2,"46,3","58,13",maison
bungalow_0,"104,164","115,171",bungalow
bungalow_1,"148,89","159,96",bungalow
bungalow_2,"121,19","128,30",bungalow
bungalow_3,"40,57","47,68",bungalow
bungalow_4,"36,171","47,178",bungalow
one_person_home_0,"39,123","47,131",one_person_home
one_person_home_1,"5,86","13,94",one_person_home
one_person_home_2,"39,107","47,115",one_person_home
one_person_home_3,"17,46","25,54",one_person_home
one_person_home_4,"13,76","21,84",one_person_home
one_person_home_5,"27,96","35,104",one_person_home
one_person_home_6,"90,13","98,21",one_person_home
one_person_home_7,"36,138","44,146",one_person_home
one_person_home_8,"91,35","99,43",one_person_home
one_person_home_9,"144,52","152,60",one_person_home
one_person_home_10,"49,87","57,95",one_person_home
one_person_home_11,"0,53","8,61",one_person_home
