structure,bottom_left_xy,top_right_xy,type
water_0,"0,135","32,180",water
water_1,"0,0","32,45",water
water_2,"128,135","160,180",water
water_3,"128,0","160,45",water
maison_0,"74,143","84,155",maison
bungalow_0,"32,138","39,149",bungalow
bungalow_1,"40,96","51,103",bungalow
one_person_home_0,"46,54","54,62",one_person_home
one_person_home_1,"106,50","114,58",one_person_home
one_person_home_2,"87,0","95,8",one_person_home
one_person_home_3,"120,168","128,176",one_person_home
one_person_home_4,"152,50","160,58",one_person_home
one_person_home_5,"110,96","118,104",one_person_home
